,title,year,rating,director
136,O Labirinto do Fauno,2006,8.2,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil"
137,Cassino,1995,8.2,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone"
138,Ran,1985,8.2,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao"
139,Sangue Negro,2007,8.2,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano"
140,O Sexto Sentido,1999,8.2,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment"
141,Uma Mente Brilhante,2001,8.2,"Ron Howard (dir.), Russell Crowe, Ed Harris"
142,Monty Python em Busca do Cálice Sagrado,1975,8.2,"Terry Gilliam (dir.), Graham Chapman, John Cleese"
143,O Show de Truman: O Show da Vida,1998,8.2,"Peter Weir (dir.), Jim Carrey, Ed Harris"
144,"Yojimbo, o Guarda-Costas",1961,8.1,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno"
145,O Tesouro da Sierra Madre,1948,8.1,"John Huston (dir.), Humphrey Bogart, Walter Huston"
146,Rashomon,1950,8.1,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô"
147,Fugindo do Inferno,1963,8.1,"John Sturges (dir.), Steve McQueen, James Garner"
148,Ilha do Medo,2010,8.1,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer"
149,Jurassic Park,1993,8.1,"Steven Spielberg (dir.), Sam Neill, Laura Dern"
150,Kill Bill: Volume 1,2003,8.1,"Quentin Tarantino (dir.), Uma Thurman, David Carradine"
151,Onde os Fracos Não Têm Vez,2007,8.1,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem"
152,O Homem Elefante,1980,8.1,"David Lynch (dir.), Anthony Hopkins, John Hurt"
153,Procurando Nemo,2003,8.1,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres"
154,Touro Indomável,1980,8.1,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty"
155,Chinatown,1974,8.1,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway"
156,...E o Vento Levou,1939,8.1,"Victor Fleming (dir.), Clark Gable, Vivien Leigh"
157,V de Vingança,2005,8.1,"James McTeigue (dir.), Hugo Weaving, Natalie Portman"
158,Divertida Mente,2015,8.1,"Pete Docter (dir.), Amy Poehler, Bill Hader"
159,"Jogos, Trapaças e Dois Canos Fumegantes",1998,8.1,"Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher"
160,O Enigma de Outro Mundo,1982,8.1,"John Carpenter (dir.), Kurt Russell, Wilford Brimley"
